Date,AAPL,AMZN,BRK.B,GOOGL,JNJ,META,MSFT,NVDA,TSLA,V
2020-08-31,225702700,83718000,,26422000,6362700,17345100,28774200,500840000,355123200,9326900
2020-09-01,151948100,68644000,,22652000,6307700,17295900,25725500,511316000,269523300,5642900
2020-09-02,200119000,78630000,,49522000,6881900,24341400,34080800,874012000,288528300,9863800
2020-09-03,257599600,163222000,,63726000,8672800,32294100,58400300,945128000,262788300,11310200
2020-09-04,332607200,175636000,,55850000,7200100,30333700,59664100,1463684000,330965700,13243600
2020-09-08,231366600,121884000,,54032000,8756800,24864000,52924300,795728000,346397100,14186900
2020-09-09,176940500,103774000,,39242000,6960700,22918800,45679000,736200000,238397400,7532600
2020-09-10,182274400,106614000,,33024000,6191800,24814700,35461500,698684000,254791800,7243000
2020-09-11,180860300,101880000,,30706000,3934700,18913900,33620100,636928000,182152500,7439000
2020-09-14,140150100,90592000,,42660000,4375800,24093800,30375800,1201744000,249061800,11730500
2020-09-15,184642000,80430000,,23042000,3658800,18478500,21823900,727556000,291894600,6328600
2020-09-16,154679000,90244000,,22128000,4323000,29183400,26328100,556384000,216837900,6135000
2020-09-17,178011000,128982000,,40008000,5461400,31281400,34011300,792512000,230337600,7474900
2020-09-18,287104900,177852000,,63056000,12174000,28130800,55225300,698460000,259220400,9084100
2020-09-21,195713800,122358000,,56908000,7574500,24709400,39839700,721044000,328430400,9656000
2020-09-22,183055400,138976000,,33950000,5295900,30293100,33517100,646452000,238742400,7543100
2020-09-23,150718700,113054000,,37726000,8784400,19641300,30803800,647012000,285222600,6310600
2020-09-24,167743300,110588000,,34552000,5614800,20006800,31202500,731240000,289683300,9865300
2020-09-25,149981400,92304000,,30326000,5531200,18351300,29437300,588016000,201625500,5496100
2020-09-28,137672400,84484000,,30784000,5843200,18826300,32004900,573808000,149158800,5565300
2020-09-29,99382200,69916000,,31816000,6768600,20200200,24221900,621460000,150657900,5513500
2020-09-30,142675200,97922000,,40924000,8487700,20142500,33829100,689184000,144436800,9157600
2020-10-01,116120400,99438000,,32884000,6457800,20009800,27158400,525004000,152224500,7234600
2020-10-02,144712000,112262000,,31222000,5485600,16367600,33154800,552496000,214290000,6019700
2020-10-05,106243800,75506000,,21602000,4992800,12822300,21331600,479820000,134168400,6090500
2020-10-06,161498200,101738000,,26096000,5118200,18696900,28554300,784420000,147438900,5841100
